model_family,run_timestamp,short_description,split,metric,value,source_file
YOLOv8,2026-07-14 16:03:31.090356,YOLOv8 archived detector,detector_validation,validation_precision,0.98797,checkpoints/yolov8/archive/best.pt
YOLOv8,2026-07-14 16:03:31.090356,YOLOv8 archived detector,detector_validation,validation_recall,0.98812,checkpoints/yolov8/archive/best.pt
YOLOv8,2026-07-14 16:03:31.090356,YOLOv8 archived detector,detector_validation,validation_map50,0.98871,checkpoints/yolov8/archive/best.pt
YOLOv8,2026-07-14 16:03:31.090356,YOLOv8 archived detector,detector_validation,validation_map50_95,0.81358,checkpoints/yolov8/archive/best.pt
DenseNet-121,2026-07-15 13:42:33,DENSENET121 - Baseline CE (No Regularization),test,accuracy,0.6691,docs/report/dense_net_121/experiment_summary.csv
DenseNet-121,2026-07-15 13:42:33,DENSENET121 - Baseline CE (No Regularization),test,qwk,0.8058,docs/report/dense_net_121/experiment_summary.csv
DenseNet-121,2026-07-15 13:42:33,DENSENET121 - Baseline CE (No Regularization),test,macro_f1,0.67,docs/report/dense_net_121/experiment_summary.csv
DenseNet-121,2026-07-15 13:42:33,DENSENET121 - Baseline CE (No Regularization),test,grade1_recall,0.22,docs/report/dense_net_121/experiment_summary.csv
DenseNet-121,2026-07-15 13:42:33,DENSENET121 - Baseline CE (No Regularization),test,average_precision,0.7009,docs/report/dense_net_121/experiment_summary.csv
DenseNet-121,2026-07-15 13:42:33,DENSENET121 - Baseline CE (No Regularization),test,roc_auc,0.8798,docs/report/dense_net_121/experiment_summary.csv
DenseNet-121,2026-07-15 17:30:22,DENSENET121 - Balanced Sampler + Minority Augmentations + Double Cutout,test,accuracy,0.6594,docs/report/dense_net_121/experiment_summary.csv
DenseNet-121,2026-07-15 17:30:22,DENSENET121 - Balanced Sampler + Minority Augmentations + Double Cutout,test,qwk,0.8283,docs/report/dense_net_121/experiment_summary.csv
DenseNet-121,2026-07-15 17:30:22,DENSENET121 - Balanced Sampler + Minority Augmentations + Double Cutout,test,macro_f1,0.68,docs/report/dense_net_121/experiment_summary.csv
DenseNet-121,2026-07-15 17:30:22,DENSENET121 - Balanced Sampler + Minority Augmentations + Double Cutout,test,grade1_recall,0.49,docs/report/dense_net_121/experiment_summary.csv
DenseNet-121,2026-07-15 17:30:22,DENSENET121 - Balanced Sampler + Minority Augmentations + Double Cutout,test,average_precision,0.7287,docs/report/dense_net_121/experiment_summary.csv
DenseNet-121,2026-07-15 17:30:22,DENSENET121 - Balanced Sampler + Minority Augmentations + Double Cutout,test,roc_auc,0.8993,docs/report/dense_net_121/experiment_summary.csv
DenseNet-121,2026-07-16 20:45:12,DENSENET121 - 3-Stage Focal CORN (Under-fit Baseline - Low LR 1e-5),test,accuracy,0.6087,docs/report/dense_net_121/experiment_summary.csv
DenseNet-121,2026-07-16 20:45:12,DENSENET121 - 3-Stage Focal CORN (Under-fit Baseline - Low LR 1e-5),test,qwk,0.7388,docs/report/dense_net_121/experiment_summary.csv
DenseNet-121,2026-07-16 20:45:12,DENSENET121 - 3-Stage Focal CORN (Under-fit Baseline - Low LR 1e-5),test,macro_f1,0.58,docs/report/dense_net_121/experiment_summary.csv
DenseNet-121,2026-07-16 20:45:12,DENSENET121 - 3-Stage Focal CORN (Under-fit Baseline - Low LR 1e-5),test,grade1_recall,0.12,docs/report/dense_net_121/experiment_summary.csv
DenseNet-121,2026-07-16 20:45:12,DENSENET121 - 3-Stage Focal CORN (Under-fit Baseline - Low LR 1e-5),test,average_precision,0.6775,docs/report/dense_net_121/experiment_summary.csv
DenseNet-121,2026-07-16 20:45:12,DENSENET121 - 3-Stage Focal CORN (Under-fit Baseline - Low LR 1e-5),test,roc_auc,0.8699,docs/report/dense_net_121/experiment_summary.csv
DenseNet-121,2026-07-17 10:33:24,DENSENET121 - 3-Stage Focal CORN (Optimized Learning Rates),test,accuracy,0.6612,docs/report/dense_net_121/experiment_summary.csv
DenseNet-121,2026-07-17 10:33:24,DENSENET121 - 3-Stage Focal CORN (Optimized Learning Rates),test,qwk,0.8271,docs/report/dense_net_121/experiment_summary.csv
DenseNet-121,2026-07-17 10:33:24,DENSENET121 - 3-Stage Focal CORN (Optimized Learning Rates),test,macro_f1,0.67,docs/report/dense_net_121/experiment_summary.csv
DenseNet-121,2026-07-17 10:33:24,DENSENET121 - 3-Stage Focal CORN (Optimized Learning Rates),test,grade1_recall,0.41,docs/report/dense_net_121/experiment_summary.csv
DenseNet-121,2026-07-17 10:33:24,DENSENET121 - 3-Stage Focal CORN (Optimized Learning Rates),test,average_precision,0.7280,docs/report/dense_net_121/experiment_summary.csv
DenseNet-121,2026-07-17 10:33:24,DENSENET121 - 3-Stage Focal CORN (Optimized Learning Rates),test,roc_auc,0.8984,docs/report/dense_net_121/experiment_summary.csv
DenseNet-121,2026-07-17 16:06:42,DENSENET121 - 3-Stage Focal CORN (Optimized Learning Rates & Patience - SOTA Peak),test,accuracy,0.6733,docs/report/dense_net_121/experiment_summary.csv
DenseNet-121,2026-07-17 16:06:42,DENSENET121 - 3-Stage Focal CORN (Optimized Learning Rates & Patience - SOTA Peak),test,qwk,0.8394,docs/report/dense_net_121/experiment_summary.csv
DenseNet-121,2026-07-17 16:06:42,DENSENET121 - 3-Stage Focal CORN (Optimized Learning Rates & Patience - SOTA Peak),test,macro_f1,0.69,docs/report/dense_net_121/experiment_summary.csv
DenseNet-121,2026-07-17 16:06:42,DENSENET121 - 3-Stage Focal CORN (Optimized Learning Rates & Patience - SOTA Peak),test,grade1_recall,0.44,docs/report/dense_net_121/experiment_summary.csv
DenseNet-121,2026-07-17 16:06:42,DENSENET121 - 3-Stage Focal CORN (Optimized Learning Rates & Patience - SOTA Peak),test,average_precision,0.7439,docs/report/dense_net_121/experiment_summary.csv
DenseNet-121,2026-07-17 16:06:42,DENSENET121 - 3-Stage Focal CORN (Optimized Learning Rates & Patience - SOTA Peak),test,roc_auc,0.9073,docs/report/dense_net_121/experiment_summary.csv
DenseNet-121,2026-07-17 22:15:13,DENSENET121 - 3-Stage Focal CORN (Last Block Unfrozen + Stage 3 Sampler Disabled) [LOGIC ERROR: Backbone Remained Frozen],test,accuracy,0.6498,docs/report/dense_net_121/experiment_summary.csv
