source_notebook,run_timestamp,model_family,configuration,status,validation_qwk,validation_macro_f1,validation_macro_ap,validation_selection_score,report_mapping,notes
notebooks/experiments/seresnext50_32x4d/heatmaps/se_resnext50_32x4d_cam_ablation.ipynb,2026-07-22 11:50:51,SE-ResNeXt-50 32x4d,final_native_cam_ce,completed,0.784774,0.656100,0.708521,0.706849,docs/report/se_resnext50_32x4d/report.md,Selected arm
notebooks/experiments/seresnext50_32x4d/heatmaps/se_resnext50_32x4d_cam_ablation.ipynb,2026-07-22 11:50:51,SE-ResNeXt-50 32x4d,final_native_cam_softlabel,completed,0.797587,0.648468,0.697257,0.706838,docs/report/se_resnext50_32x4d/report.md,Not selected
notebooks/experiments/seresnext50_32x4d/heatmaps/se_resnext50_32x4d_cam_ablation.ipynb,2026-07-22 11:50:51,SE-ResNeXt-50 32x4d,final_native_cam_joint_guided_005,completed,0.777967,0.654498,0.701474,0.701360,docs/report/se_resnext50_32x4d/report.md,Not selected
notebooks/experiments/seresnext50_32x4d/heatmaps/se_resnext50_32x4d_cam_ablation.ipynb,2026-07-22 11:50:51,SE-ResNeXt-50 32x4d,multiscale_mlp_hirescam_ce,completed,0.778239,0.643774,0.700195,0.691781,docs/report/se_resnext50_32x4d/report.md,Not selected
notebooks/experiments/seresnext50_32x4d/heatmaps/se_resnext50_32x4d_cam_ablation.ipynb,2026-07-22 11:50:51,SE-ResNeXt-50 32x4d,fpn_native_cam_softlabel,completed,0.782447,0.624408,0.678323,0.689906,docs/report/se_resnext50_32x4d/report.md,Not selected
notebooks/experiments/seresnext50_32x4d/heatmaps/se_resnext50_32x4d_cam_ablation.ipynb,2026-07-22 11:50:51,SE-ResNeXt-50 32x4d,fpn_native_cam_ce,completed,0.747960,0.602090,0.667275,0.660372,docs/report/se_resnext50_32x4d/report.md,Not selected
notebooks/experiments/seresnext50_32x4d/loss/se_resnext50_32x4d_ce_vs_ordinal_loss.ipynb,2026-07-25 04:35:15,SE-ResNeXt-50 32x4d,final_native_cam_ordinal_soft_label,completed,0.803113,0.657431,0.700162,0.711211,docs/report/se_resnext50_32x4d/report.md,Selected arm
notebooks/experiments/seresnext50_32x4d/loss/se_resnext50_32x4d_ce_vs_ordinal_loss.ipynb,2026-07-25 04:35:15,SE-ResNeXt-50 32x4d,final_native_cam_ce,completed,0.793681,0.658106,0.708756,0.703364,docs/report/se_resnext50_32x4d/report.md,Not selected
notebooks/experiments/seresnext50_32x4d/sampling/se_resnext50_32x4d_sampler_ablation.ipynb,2026-07-23 15:13:05,SE-ResNeXt-50 32x4d,full_inverse,completed,0.7948,0.6446,,0.6984,docs/report/se_resnext50_32x4d/report.md,Selected validation arm
notebooks/experiments/seresnext50_32x4d/sampling/se_resnext50_32x4d_sampler_ablation.ipynb,2026-07-23 15:13:05,SE-ResNeXt-50 32x4d,sqrt_inverse,completed,0.7895,0.6496,,0.6875,docs/report/se_resnext50_32x4d/report.md,Not selected
notebooks/experiments/seresnext50_32x4d/sampling/se_resnext50_32x4d_sampler_ablation.ipynb,2026-07-23 15:13:05,SE-ResNeXt-50 32x4d,no_sampler,completed,0.7737,0.6348,,0.6650,docs/report/se_resnext50_32x4d/report.md,Not selected
